article;list_price;buying_price
272779788R;56.57;17.54
272779986R;56.57;17.54
27732JY10A;128.82;74.72
278506648R;20.82;11.45
278606555R;277.45;152.60
278608070R;83.24;45.78
280380213R;150.04;122.58
280380757R;2.87;2.34
280381287R;39.38;32.17
280384533R;154.51;126.23
280384773R;80.03;65.38
280386845R;82.80;67.65
280388301R;141.17;115.34
28056JY00A;4.32;3.53
280563352R;150.04;122.58
280703831R;18.77;15.34
2812215900;94.46;41.56
281655632R;25.85;21.12
281946762R;54.81;44.78
282C80722R;18.29;14.94
282364205R;150.04;122.58
282364352R;18.29;14.94
282364938R;43.51;35.55
283G41555R;48.82;39.89
283400410R;1.59;1.30
283402801R;11.24;9.18
283402867R;3.77;3.08
283408768R;4.44;3.63
283408910R;3.77;3.08
283409888R;0.96;0.78
284A34761R;645.68;527.52
284A36831R;557.63;455.58
284B50405R;29.33;23.96
284B50669R;18.29;14.94
284B52626R;29.33;23.96
284F40598R;150.04;122.58
284F42170R;44.35;36.23
284H40863R;29.33;23.96
284H65690R;18.29;14.94
284L83479R;36.02;29.43
284S40608R;39.96;32.65
284S41046R;18.29;14.94
284S42236R;23.72;19.38
284S42408R;24.20;19.77
284S42517R;222.43;181.73
284S42557R;39.51;32.28
284S43461R;57.42;46.91
284S43676R;42.93;35.07
284S44210R;29.33;23.96
284S44473R;222.43;181.73
284S45113R;57.42;46.91
284S45458R;39.96;32.65
284S48158R;39.51;32.28
284S48253R;29.33;23.96
284S49136R;23.72;19.38
284S49215R;24.34;19.89
284S49392R;42.93;35.07
284S49904R;18.29;14.94
284S49948R;39.38;32.17
284S82766R;48.82;39.89
284S83262R;52.24;42.68
284T03734R;48.82;39.89
284T05494R;39.38;32.17
284442576R;78.10;63.81
284443605R;9.44;7.71
284446673R;8.46;6.91
284520048R;22.21;18.15
284520192R;4.43;3.62
284520439R;29.33;23.96
284520627R;18.32;14.97
284521638R;48.82;39.89
284521644R;45.63;37.28
284522625R;26.60;21.73
284523434R;16.96;13.86
284523519R;29.33;23.96
284523946R;18.29;14.94
284524EA2A;29.27;23.91
284524041R;48.82;39.89
284524222R;2.88;2.35
284524499R;13.12;10.72
284525JN0A;250.29;204.49
284525188R;21.75;17.77
284526021R;19.63;16.04
284526287R;31.17;25.47
284526413R;39.80;32.52
284526473R;41.14;33.61
284526946R;55.83;45.61
284527191R;4.43;3.62
284529135R;33.82;27.63
284529137R;30.39;24.83
284529225R;48.59;39.70
284529768R;22.56;18.43
284529826R;29.33;23.96
284906777R;29.33;23.96
284917406R;29.33;23.96
285M84005R;57.42;46.91
285M86863R;50.84;41.54
285M88457R;33.52;27.39
285M88489R;104.52;85.39
285N85692R;29.33;23.96
285N88472R;20.18;16.49
285N88490R;35.92;29.35
285N89090R;57.42;46.91
285U23173R;48.82;39.89
285U26714R;39.38;32.17
286465JN0A;12.26;10.02
28664JY00A;18.29;14.94
286640053R;20.70;16.91
286642553R;100.43;82.05
286643350R;73.83;60.32
286645840R;69.79;57.02
286646853R;69.79;57.02
286647495R;72.98;59.62
286648933R;81.42;66.52
286649393R;12.59;10.29
286697534R;12.59;10.29
287100004R;400.95;328.78
287100007R;291.18;238.77
287100010R;405.02;332.12
287100505R;277.59;227.62
287100787R;323.85;265.56
287102049R;361.32;296.28
287102467R;323.84;265.55
287104350R;323.84;265.55
287105483R;323.84;265.55
287105611R;493.48;404.65
287108228R;359.83;295.06
287109280R;462.64;379.36
287109757R;457.78;375.38
287200002R;349.41;286.52
287205025R;13.58;11.09
287800627R;30.03;11.53
287900003R;23.20;8.91
287900583R;12.01;4.61
287900968R;11.85;4.55
287901494R;30.03;11.53
287901701R;30.03;11.53
287901981R;28.17;10.82
287902394R;30.03;11.53
287902449R;20.43;7.85
287902705R;18.81;7.22
287903320R;17.28;6.64
287903550R;24.02;9.22
287903581R;27.64;10.61
287904003R;30.03;11.53
287904854R;16.57;6.36
287905491R;30.03;11.53
287905991R;24.02;9.22
287906144R;15.32;5.88
287907087R;30.03;11.53
287907180R;27.64;10.61
287908174R;20.88;8.02
287908635R;24.02;9.22
287908820R;22.57;8.67
287909013R;12.01;4.61
287909121R;29.01;11.14
287909182R;22.57;8.67
287909301R;28.53;10.96
287909363R;20.63;7.92
287909786R;19.96;7.66
287909946R;24.02;9.22
288B50924R;45.80;17.59
288B55277R;27.76;10.66
288B55332R;24.98;9.59
288B57752R;36.93;14.18
288B57826R;24.98;9.59
288900347R;44.02;16.90
288900432R;24.98;9.59
288900556R;42.12;16.17
288900610R;25.29;9.71
288900666R;65.94;25.32
288900701R;39.18;15.05
288900838R;39.18;15.05
288900971R;39.18;15.05
288901088R;25.29;9.71
288901158R;30.34;11.65
288901217R;56.65;21.75
288901286R;15.02;5.77
288901346R;38.88;14.93
288901480R;36.26;13.92
288901628R;81.10;31.14
288901676R;48.91;18.78
288901859R;22.51;8.64
288901920R;45.80;17.59
288901965R;57.65;22.14
288901987R;18.30;7.03
288902025R;64.88;24.91
288902078R;48.05;18.45
288902165R;37.53;14.41
288902439R;28.66;11.01
288902488R;18.30;7.03
288902499R;63.72;24.47
288902640R;19.15;7.35
288902727R;28.69;11.02
288902958R;53.78;20.65
288903138R;56.08;21.53
288903296R;25.29;9.71
288903380R;18.30;7.03
288903384R;43.55;16.72
288903431R;27.03;10.38
288903481R;90.54;34.77
288903505R;56.92;21.86
288903710R;32.97;12.66
288903916R;45.49;17.47
288903976R;25.29;9.71
288903993R;27.76;10.66
288904KJ0A;55.69;21.38
288904KJ1A;62.84;24.13
288904098R;43.55;16.72
288904198R;32.97;12.66
288904207R;42.12;16.17
288904292R;27.03;10.38
288904685R;37.53;14.41
288904848R;49.15;18.87
288904882R;38.88;14.93
288904913R;39.18;15.05
288905309R;27.03;10.38
288905350R;88.46;33.97
288905401R;28.66;11.01
288905450R;32.97;12.66
288905546R;32.97;12.66
288905638R;28.09;10.79
288905642R;82.43;31.65
288905805R;81.10;31.14
288905811R;28.66;11.01
288905887R;35.40;13.59
288906152R;15.02;5.77
288906601R;45.49;17.47
288906796R;67.72;26.00
288906926R;27.76;10.66
288907150R;15.57;5.98
288907177R;21.49;8.25
288907213R;36.93;14.18
288907266R;63.39;24.34
288907458R;34.40;13.21
288907647R;82.43;31.65
288907672R;21.49;8.25
288907721R;42.12;16.17
288907739R;35.40;13.59
288907815R;27.76;10.66
288907959R;49.46;18.99
288908007R;34.22;13.14
288908085R;27.03;10.38
288908134R;30.64;11.77
288908231R;18.30;7.03
288908334R;63.39;24.34
288908409R;54.05;20.76
288908411R;29.49;11.32
288908416R;34.52;13.26
288908459R;50.30;19.32
288908484R;42.29;16.24
288908545R;65.29;25.07
288908601R;47.27;18.15
288908630R;27.03;10.38
288908716R;60.39;23.19
288908753R;24.74;9.50
288908955R;27.76;10.66
288909048R;32.85;12.61
288909223R;46.92;18.02
288909226R;46.07;17.69
288909270R;35.40;13.59
288909307R;25.29;9.71
288909425R;54.05;20.76
288909504R;69.99;26.88
288909527R;28.27;10.86
288909637R;63.72;24.47
288909789R;58.79;22.58
288909870R;34.22;13.14
288909916R;46.19;17.74
288953663R;36.93;14.18
288954276R;36.93;14.18
288954625R;27.76;10.66
288954962R;43.04;16.53
288955316R;45.80;17.59
288958192R;36.93;14.18
289A23820R;44.33;36.22
289264139R;47.21;38.57
290F18104R;30.68;25.07
290660961R;58.20;22.35
290662680R;34.54;13.26
290667534R;62.16;23.87
295A44162R;5.89;4.81
295F40763R;74.90;61.19
295G9HB82E;122.60;100.16
295R85142R;15.76;12.88
295R88066R;19.27;15.74
295S80086R;57.42;46.91
295S89832R;80.04;65.39
295Y25454R;29.33;23.96
295132285R;2.71;2.21
295341479R;18.52;15.13
295544280R;64.37;35.40
296D41683R;57.42;46.91
296D44431R;39.38;32.17
302050034R;292.72;131.72
302050453R;221.17;99.53
302050831R;292.72;131.72
302050865R;548.05;246.62
302050901R;292.72;131.72
302051247R;468.35;210.76
302051336R;331.76;149.29
302051409R;332.76;149.74
302051453R;903.73;406.68
302051548R;331.76;149.29
302052098R;325.24;146.36
302052223R;260.19;117.09
302052305R;546.41;245.88
302052307R;292.72;131.72
302052617R;221.17;99.53
302052641R;455.35;204.91
302052839R;331.76;149.29
302052910R;1729.75;778.39
302052962R;332.76;149.74
302053201R;292.72;131.72
302053302R;332.76;149.74
302053679R;325.24;146.36
302053931R;325.24;146.36
302054100R;295.31;132.89
302054417R;468.35;210.76
302054452R;390.29;175.63
302054581R;468.35;210.76
302054956R;455.35;204.91
302055016R;326.88;147.10
302055084R;519.57;233.81
302055381R;468.35;210.76
302055580R;276.45;124.40
302055884R;390.29;175.63
302055983R;1358.33;611.25
302056020R;390.29;175.63
302056062R;331.76;149.29
302056600R;456.71;205.52
302057069R;332.76;149.74
302057092R;391.46;176.16
302057116R;409.81;184.41
302057302R;325.24;146.36
302057428R;239.19;107.64
302057505R;252.17;113.48
302057645R;1611.90;725.36
302057908R;273.20;122.94
302058039R;221.17;99.53
302058134R;312.23;140.50
302058324R;260.19;117.09
302058345R;468.35;210.76
302058718R;320.33;144.15
302059977R;411.03;184.96
306754372R;35.82;29.26
30850JG70A;52.55;42.93
316271091R;521.87;234.84
319433JX0B;82.17;47.66
320505223R;72.94;34.28
320508635R;72.94;34.28
320930431R;21.91;17.90
320934528R;15.82;12.92
341013870R;35.48;28.99
341019975R;134.62;109.98
363290001R;98.19;80.22
36400JY50A;100.26;81.91
364104162R;55.76;45.56
364542149R;17.78;14.53
365350001R;29.06;23.74
365356243R;133.06;108.71
375104BD0A;47.59;38.88
375124BD0A;43.20;35.29
402023273R;216.41;77.91
402024076R;192.14;69.17
402026061R;216.41;77.91
402026199R;272.92;98.25
402060012R;173.96;62.63
402060019R;216.41;77.91
402060029R;163.96;59.03
402060405R;235.39;84.74
402060654R;387.57;139.53
402061200R;236.90;85.28
402061547R;163.96;59.03
402061715R;239.84;86.34
402061792R;131.14;47.21
402061858R;250.86;90.31
402062000R;163.94;59.02
402062072R;165.12;59.44
402062584R;242.68;87.36
402062650R;250.86;90.31
402062984R;234.78;84.52
402063166R;244.35;87.97
402064KJ1B;220.55;79.40
402064155R;163.94;59.02
402064230R;278.67;100.32
402064549R;223.00;80.28
402065HA0A;163.96;59.03
402065XA0A;204.60;73.66
402065054R;236.90;85.28
402065345R;222.92;80.25
402065616R;250.86;90.31
402065998R;163.96;59.03
402066RN0A;221.34;79.68
402066RP0A;163.96;59.03
402066US0B;163.96;59.03
402066300R;236.90;85.28
402066352R;218.41;78.63
402066624R;163.94;59.02
402066818R;250.86;90.31
402066949R;163.94;59.02
402067615R;278.73;100.34
402067816R;177.06;63.74
402067902R;278.67;100.32
402068053R;278.67;100.32
402068234R;163.94;59.02
402068250R;206.82;74.46
402068279R;147.55;53.12
402068466R;236.90;85.28
402068571R;148.18;53.34
402068775R;150.02;54.01
402069741R;278.22;100.16
402069828R;185.98;66.95
402069958R;326.55;117.56
402971620R;387.57;139.53
402975316R;326.55;117.56
402977597R;296.63;106.79
410A04080R;38.49;24.09
410A05803R;51.19;32.04
410A07273R;107.80;67.48
410A10803R;118.02;41.78
410A12582R;115.23;40.79
410A13730R;85.02;30.10
410A15079R;118.02;41.78
410A17119R;107.05;37.90
410A17281R;139.05;49.22
410A17865R;483.00;170.98
410A18593R;258.04;91.35
410271417R;15.12;9.47
410271822R;17.91;11.21
410273279R;13.73;8.59
410273311R;70.80;44.32
410274467R;46.26;28.96
410274877R;44.54;27.88
410277998R;74.89;46.88
410278957R;15.12;9.47
410600012R;125.11;44.29
410600222R;86.17;30.50
410600318R;118.02;41.78
410600425R;130.93;46.35
410600995R;118.02;41.78
410601073R;118.80;42.06
410601237R;118.02;41.78
410601334R;118.02;41.78
410601408R;104.32;36.93
410601512R;256.38;90.76
410601531R;118.02;41.78
410601596R;221.34;78.35
410602192R;86.17;30.50
410602581R;86.17;30.50
410603131R;242.56;85.87
410603271R;105.77;37.44
410603303R;215.55;76.30
410603407R;113.66;40.24
410603513R;120.39;42.62
410603759R;136.59;48.35
410603847R;118.80;42.06
410604EA0A;182.09;64.46
410604076R;86.17;30.50
410604441R;125.11;44.29
410604682R;86.17;30.50
410604775R;86.17;30.50
410604868R;113.91;40.32
410605055R;125.11;44.29
410605555R;402.04;142.32
410605766R;113.80;40.29
410605929R;118.02;41.78
410606032R;86.17;30.50
410606124R;141.63;50.14
410606808R;141.63;50.14
410607103R;104.19;36.88
410607229R;116.32;41.18
410607369R;118.02;41.78
410607693R;122.50;43.37
410608131R;242.56;85.87
410608481R;86.17;30.50
410608710R;192.36;68.10
410608885R;86.17;30.50
410609141R;113.82;40.29
410609192R;118.02;41.78
410609317R;215.15;76.16
410609323R;70.82;25.07
410609896R;113.80;40.29
410830001R;13.81;8.65
410832774R;13.81;8.65
410837551R;18.55;11.61
410908683R;37.51;23.48
430B63523R;68.41;55.89
432000015R;216.41;77.91
432000138R;270.88;97.52
432000166R;351.51;126.54
432000185R;367.86;132.43
432000367R;389.83;140.34
432000505R;452.69;203.71
432000978R;489.91;220.46
432001458R;504.20;226.89
432002188R;367.86;132.43
432003112R;292.61;105.34
432004397R;579.83;260.92
432004943R;351.51;126.54
432005338R;298.80;107.57
432005876R;630.26;283.62
432006019R;567.24;255.26
432006028R;294.45;106.00
432007212R;521.87;234.84
432008052R;347.89;156.55
432008191R;351.51;126.54
432008208R;579.83;260.92
432008347R;630.26;283.62
432020026R;444.82;160.14
432020912R;216.41;77.91
432020984R;216.41;77.91
432021892R;216.41;77.91
432022742R;288.29;103.78
432023259R;521.87;234.84
432023663R;216.41;77.91
432024763R;567.22;255.25
432024962R;216.22;77.84
432027306R;216.41;77.91
432027412R;177.84;64.02
432028192R;216.41;77.91
432029176R;216.41;77.91
432029310R;216.41;77.91
432029521R;504.20;226.89
432032273R;56.89;25.60
432037563R;480.39;216.18
43206EB360;1134.44;510.50
432061164R;172.18;61.98
432061754R;544.31;244.94
432062488R;504.20;226.89
432063685R;394.69;177.61
432064CE0A;210.61;75.82
432064CE0B;292.67;105.36
432064087R;229.39;82.58
432064199R;242.76;109.24
432064423R;216.41;77.91
432065XA0A;172.18;61.98
432066RN0A;220.57;79.41
432066US0A;172.18;61.98
432066923R;630.26;283.62
432067177R;172.18;61.98
432067943R;229.32;82.56
432068231R;172.12;61.96
432068931R;567.24;255.26
440A00868R;292.67;105.36
440A01033R;276.89;110.76
440A01349R;151.65;52.02
440A01527R;386.05;154.42
440A01612R;184.60;73.84
440A01644R;209.76;83.90
440A03434R;267.80;96.41
440A03645R;209.76;83.90
440A03664R;265.11;106.04
440A03906R;292.00;105.12
440A04494R;251.70;100.68
440A04949R;395.12;142.24
440A05169R;209.76;83.90
440A05256R;146.52;50.26
440A05446R;251.70;100.68
440A05524R;220.78;88.31
440A06022R;53.30;33.37
440A06262R;224.44;89.78
440A06298R;264.95;105.98
440A06406R;55.91;35.00
440A06525R;209.76;83.90
440A06575R;292.67;105.36
440A07208R;209.76;83.90
440A07347R;242.88;97.15
440A07591R;432.60;173.04
440A07600R;267.80;96.41
440A08042R;377.47;150.99
440A08049R;45.99;28.79
440A08798R;19.32;12.09
440A09225R;376.31;135.47
440A09374R;230.75;92.30
440A09411R;155.96;62.38
440A09572R;245.37;88.33
440A09608R;12.43;7.78
440A09860R;220.78;88.31
4401032040;74.33;50.02
4401032042;74.33;50.02
4401032046;83.65;56.30
4401032236;49.48;33.30
4401032238;49.48;33.30
4401033482;80.83;54.40
4401033484;80.83;54.40
4401033486;73.78;49.65
4401033490;83.65;56.30
4401033870;59.76;40.22
4401034008;14.92;10.04
4401034752;66.77;44.94
4401034753;66.77;44.94
4401034754;55.52;37.36
4401035025;60.36;40.62
4401035026;60.36;40.62
4401035027;64.71;43.55
4401035509;59.76;40.22
4401035515;97.69;65.75
4401035555;14.92;10.04
4401035632;14.92;10.04
4401035870;13.36;8.99
4401036005;92.08;61.97
4401036306;14.92;10.04
4401037023;52.44;35.29
4401037024;52.44;35.29
4401038320;63.97;43.05
4401038321;63.97;43.05
4401039956;14.92;10.04
4401039957;14.92;10.04
4401042290;14.92;10.04
4401043826;10.51;7.07
4401044169;10.77;7.25
4401046656;10.77;7.25
4401349745;14.92;10.04
4401366582;92.08;61.97
4401367378;56.09;37.75
4401367379;56.09;37.75
4401367380;84.22;56.68
4401367381;42.96;28.91
4401367461;84.22;56.68
4401367601;134.25;90.35
4401367711;63.97;43.05
4401367878;52.44;35.29
4401367880;52.44;35.29
4401367882;83.65;56.30
4401367884;38.61;25.98
4401468977;83.65;56.30
4401468978;83.65;56.30
4401468979;83.65;56.30
4401468980;83.65;56.30
4401468986;94.90;63.87
4401469070;139.86;94.13
4401469301;76.60;51.55
4401469305;76.60;51.55
4401469306;101.93;68.60
4401469307;42.96;28.91
4401469308;42.96;28.91
4401469768;56.94;38.32
4401469856;111.77;75.22
4401469978;83.65;56.30
4401469991;101.93;68.60
4401470271;40.78;27.44
4401470272;40.78;27.44
4401470273;37.52;25.25
4401470315;64.71;43.55
4401470746;42.96;28.91
4401470747;42.96;28.91
4401470748;42.96;28.91
4401470749;42.96;28.91
4401470750;78.95;53.13
4401470946;57.10;38.43
4401470947;57.10;38.43
4401470948;57.10;38.43
4401470949;57.10;38.43
4401471222;70.15;47.21
4401471224;70.15;47.21
4401471226;75.77;50.99
4401471581;46.22;31.11
4401471582;46.22;31.11
4401471584;66.88;45.01
4401471585;39.04;26.27
4401471637;78.95;53.13
4401473340;99.49;66.96
4401473341;100.17;67.41
4401473342;100.17;67.41
4401473343;105.55;71.04
440202631R;276.89;110.76
440207247R;264.95;105.98
440207408R;264.95;105.98
440260001R;77.31;48.40
440262676R;37.12;23.24
440263023R;69.01;43.20
440263346R;44.54;27.88
440263720R;59.20;37.06
440266309R;91.15;57.06
440267575R;25.89;16.21
440268979R;69.01;43.20
440269087R;46.04;28.82
44038CY011;44.54;27.88
44060CY025;151.65;52.02
440600296R;78.77;27.88
440600498R;114.42;40.50
440600623R;242.56;85.87
440600819R;114.42;40.50
440601232R;122.32;43.30
440601689R;121.29;42.94
440601749R;151.65;52.02
440601843R;151.65;52.02
440601977R;192.89;66.16
440602361R;114.42;40.50
440602466R;114.42;40.50
440602619R;104.19;36.88
440602638R;66.70;23.61
440602830R;114.42;40.50
440603321R;115.20;40.78
440603457R;151.65;52.02
440603558R;114.42;40.50
440603961R;198.00;67.91
440604267R;44.54;27.88
440604584R;151.65;52.02
440604694R;114.42;40.50
440604876R;114.42;40.50
440604970R;85.71;30.34
440605238R;151.65;52.02
440605358R;111.46;39.46
440605713R;114.42;40.50
440605839R;114.42;40.50
440605889R;119.00;42.13
440606011R;115.20;40.78
440606086R;151.65;52.02
440606446R;130.84;46.32
440606659R;189.20;66.98
440607091R;115.20;40.78
440607437R;114.42;40.50
440607734R;121.31;42.94
440607969R;192.74;68.23
440608061R;114.42;40.50
440608235R;137.33;48.61
440609081R;151.65;52.02
440609415R;151.65;52.02
440661332R;83.57;29.58
440830045R;14.61;9.15
440830207R;15.12;9.47
440830830R;18.50;11.58
440831467R;15.12;9.47
440831986R;63.89;40.00
440832032R;15.12;9.47
440832870R;62.18;38.92
440833410R;13.81;8.65
440834580R;79.65;49.86
440834627R;29.00;18.15
440835231R;31.89;19.96
440839581R;15.12;9.47
440839596R;15.12;9.47
44090EB360;20.00;12.52
440907574R;16.66;10.43
44140JA01A;40.61;25.42
441558663R;187.25;152.98
441658586R;187.25;152.98
44200CY001;44.54;27.88
44201CY001;44.54;27.88
442080523R;56.30;35.24
442082026R;120.01;75.13
442082426R;42.72;26.74
442084044R;68.76;43.04
442085679R;88.38;55.33
442086744R;69.01;43.20
442088542R;69.01;43.20
442089777R;91.15;57.06
44214EB360;18.61;11.65
462100018R;62.67;51.20
462110005R;62.67;51.20
474014699R;277.45;152.60
478400817R;50.84;41.54
478401352R;44.70;36.52
478403096R;233.96;191.15
478403423R;36.39;29.73
478406RF0A;73.00;59.64
478407136R;77.44;63.27
478407613R;70.42;57.53
479601367R;20.73;16.94
479609969R;64.84;52.97
479610925R;20.43;16.69
479612145R;64.84;52.97
479707820R;17.64;14.41
484B21018R;37.88;30.95
484B28038R;57.42;46.91
484572905R;48.82;39.89
491207167R;49.16;40.16
491209928R;39.38;32.17
491299807R;79.33;64.81
497300112R;4.01;3.28
497305827R;2.39;1.95
5001000878;49.85;19.94
5001834565;140.45;84.83
5001847284;268.94;126.40
5001850694;72.76;53.33
5001864560;284.58;133.75
5001864712;1399.50;503.82
5001865593;71.46;27.44
5010260603;262.73;94.58
5010260604;247.98;89.27
5010537288;829.92;678.04
502705683R;17.56;14.35
510106837R;879.75;421.40
511101577R;73.00;59.64
511151823R;45.29;37.00
511347211R;77.30;63.15
521565789R;62.29;50.89
540090001R;205.90;91.42
540090008R;205.90;91.42
540092392R;104.64;46.46
540092826R;87.52;38.86
540098381R;126.50;56.17
540099927R;104.64;46.46
54010HV10A;171.56;76.17
54010HV30A;171.56;76.17
54010HV60A;171.56;76.17
540100002R;205.90;91.42
540100006R;205.90;91.42
540100008R;197.91;87.87
540100021R;171.56;76.17
540100022R;171.56;76.17
540100023R;171.56;76.17
540100026R;171.56;76.17
540100027R;171.56;76.17
540100028R;171.56;76.17
540100029R;171.56;76.17
540100030R;171.56;76.17
540100031R;171.56;76.17
540100032R;171.56;76.17
540100033R;171.56;76.17
540100043R;171.56;76.17
540100046R;171.56;76.17
540100049R;171.56;76.17
540100051R;82.80;36.76
540100052R;171.56;76.17
540100053R;171.56;76.17
540100054R;171.56;76.17
540100055R;171.56;76.17
540100059R;171.56;76.17
540100061R;205.90;91.42
540100062R;205.90;91.42
540100070R;205.90;91.42
540100072R;205.90;91.42
540100074R;205.90;91.42
540100092R;257.39;114.28
540100103R;137.29;60.96
540100107R;171.56;76.17
540100108R;171.56;76.17
540100256R;171.56;76.17
540100271R;171.56;76.17
540100416R;137.50;61.05
540100593R;145.84;64.75
540100658R;131.27;58.28
540100705R;171.56;76.17
540100756R;20.79;9.23
540100773R;154.44;68.57
540100781R;191.78;85.15
540100792R;171.56;76.17
540100834R;127.92;56.80
540100864R;223.07;99.04
540101014R;223.07;99.04
540101015R;205.90;91.42
540101024R;171.56;76.17
540101101R;171.56;76.17
540101110R;178.76;79.37
540101168R;171.56;76.17
540101175R;123.76;54.95
540101179R;154.44;68.57
540101181R;154.44;68.57
540101261R;154.44;68.57
540101362R;145.84;64.75
540101405R;145.84;64.75
540101474R;154.44;68.57
540101582R;145.84;64.75
540101623R;205.90;91.42
540101627R;180.99;80.36
540101633R;131.27;58.28
540101761R;171.56;76.17
540101780R;223.07;99.04
540101829R;145.84;64.75
540101908R;145.84;64.75
540101921R;154.44;68.57
540101922R;145.84;64.75
540101936R;154.44;68.57
540101947R;158.30;70.29
540101952R;145.84;64.75
540101957R;137.29;60.96
540102057R;223.07;99.04
540102181R;154.44;68.57
540102362R;205.90;91.42
540102416R;154.44;68.57
540102427R;133.95;59.47
540102503R;171.56;76.17
540102606R;154.44;68.57
540102643R;95.05;42.20
540102651R;205.90;91.42
540102721R;149.22;66.25
540102754R;171.56;76.17
540102764R;142.97;63.48
540102779R;123.74;54.94
540102787R;137.29;60.96
540102837R;165.76;73.60
540102865R;205.90;91.42
540102933R;137.50;61.05
540103027R;171.56;76.17
540103047R;142.97;63.48
540103105R;154.44;68.57
540103129R;171.56;76.17
540103214R;132.76;58.95
540103335R;154.44;68.57
540103336R;154.44;68.57
540103346R;154.44;68.57
540103769R;154.44;68.57
540103774R;131.27;58.28
540103874R;154.44;68.57
540103892R;154.44;68.57
540103898R;131.27;58.28
540103900R;171.56;76.17
540103913R;171.56;76.17
540103930R;154.44;68.57
540103947R;171.56;76.17
540103972R;171.56;76.17
540104EA2A;171.56;76.17
540104EB2B;171.56;76.17
540104EB2C;171.56;76.17
540104ED3A;171.56;76.17
540104JW2B;308.85;137.13
540104134R;154.44;68.57
540104399R;99.88;44.35
540104401R;127.92;56.80
540104411R;171.56;76.17
540104583R;171.56;76.17
540104610R;223.07;99.04
540104718R;87.52;38.86
540104722R;205.90;91.42
540104724R;171.56;76.17
540104729R;131.27;58.28
540104737R;131.27;58.28
540104778R;171.56;76.17
540104884R;127.08;56.42
540104897R;171.56;76.17
540105JU1A;298.41;132.49
540105062R;171.56;76.17
540105074R;154.44;68.57
540105091R;171.56;76.17
540105122R;171.56;76.17
540105167R;145.84;64.75
540105232R;154.44;68.57
540105292R;223.07;99.04
540105301R;171.56;76.17
540105376R;147.48;65.48
540105389R;171.56;76.17
540105454R;154.44;68.57
540105466R;171.56;76.17
540105473R;154.44;68.57
540105556R;131.27;58.28
540105571R;131.27;58.28
540105590R;131.27;58.28
540105677R;223.07;99.04
540105681R;137.50;61.05
540105715R;137.29;60.96
540105756R;131.27;58.28
540105761R;145.84;64.75
540106156R;154.44;68.57
540106411R;154.44;68.57
540106430R;154.44;68.57
540106431R;127.92;56.80
540106463R;137.50;61.05
540106530R;171.56;76.17
540106611R;137.29;60.96
540106782R;154.44;68.57
540106843R;205.90;91.42
540106855R;171.56;76.17
540106942R;205.90;91.42
540106959R;361.22;160.38
540107005R;154.44;68.57
540107074R;171.56;76.17
540107202R;171.56;76.17
540107253R;131.27;58.28
540107445R;223.07;99.04
540107498R;154.44;68.57
540107610R;154.44;68.57
540107646R;154.44;68.57
540107678R;154.44;68.57
540107794R;145.84;64.75
540107805R;137.29;60.96
540107977R;171.56;76.17
540108010R;223.07;99.04
540108011R;154.44;68.57
540108038R;171.56;76.17
540108071R;131.27;58.28
540108094R;137.50;61.05
540108103R;145.84;64.75
540108194R;145.84;64.75
540108269R;121.73;54.05
540108309R;154.44;68.57
540108338R;154.44;68.57
540108433R;145.84;64.75
540108442R;205.90;91.42
540108481R;137.50;61.05
540108528R;146.03;64.84
540108564R;171.56;76.17
540108596R;154.44;68.57
540108891R;145.84;64.75
540108979R;154.44;68.57
540108995R;137.29;60.96
540109058R;163.40;72.55
540109251R;145.84;64.75
540109342R;137.50;61.05
540109345R;223.07;99.04
540109451R;131.27;58.28
540109595R;171.56;76.17
540109615R;171.56;76.17
540109687R;154.44;68.57
540109737R;123.74;54.94
540109739R;154.44;68.57
540109782R;154.44;68.57
540109956R;205.90;91.42
540305546R;32.99;14.65
54302HV01A;141.04;62.34
54302JY01B;139.38;61.61
543020008R;128.31;56.71
543020014R;139.38;61.61
543020016R;116.14;51.33
543020017R;116.14;51.33
543020030R;139.38;61.61
543020053R;167.74;74.14
543020054R;152.23;67.29
543020057R;116.14;51.33
543020058R;116.14;51.33
543020059R;125.44;55.44
543020064R;116.14;51.33
543020065R;116.14;51.33
543020103R;84.59;37.39
543020117R;169.26;74.81
543020322R;120.87;53.42
543020421R;142.36;62.92
543020457R;119.47;52.81
543020474R;156.82;69.31
543020503R;114.75;50.72
543020508R;165.50;73.15
543020562R;211.67;93.56
543020572R;116.14;51.33
543020638R;144.33;63.79
543020683R;163.70;72.36
543020749R;149.33;66.00
543020942R;116.14;51.33
543021082R;226.51;100.12
543021198R;152.65;67.47
543021203R;120.87;53.42
543021244R;130.11;57.51
543021313R;172.34;76.17
543021356R;155.13;68.57
543021361R;144.24;63.75
543021390R;174.23;77.01
543021401R;152.65;67.47
543021406R;293.15;129.57
543021437R;139.38;61.61
543021687R;119.47;52.81
543021775R;129.75;57.35
543021842R;174.23;77.01
543021867R;174.76;77.24
543021923R;127.68;56.43
543021958R;116.73;51.59
543022006R;174.60;77.17
543022015R;174.23;77.01
543022129R;122.17;54.00
543022134R;104.54;46.21
543022288R;358.40;158.41
543022329R;152.65;67.47
543022344R;84.59;37.39
543022402R;152.65;67.47
543022595R;89.61;39.61
543022646R;116.14;51.33
543022707R;126.77;56.03
543022820R;181.19;80.09
543022921R;104.54;46.21
543022968R;120.87;53.42
