article;list_price;buying_price
130800299R;128.82;74.72
130801275R;120.87;70.10
130801485R;116.35;67.48
130851KC3A;131.12;66.87
130911KC3B;131.12;66.87
132764P100;10.07;8.23
135061002R;12.98;10.60
140496681R;8.69;7.10
140498376R;39.38;32.17
140499242R;8.94;7.30
140499722R;8.18;6.68
144C01379R;33.20;27.12
144C03262R;40.02;32.70
144C06562R;5.75;4.70
144C06894R;39.38;32.17
144C07329R;18.29;14.94
144C20082R;19.84;16.21
144C26836R;1.85;1.51
144D00432R;10.23;8.36
144D01090R;55.98;45.74
144D02076R;11.24;9.18
144D02666R;46.98;38.38
144D03985R;16.22;13.25
144D06388R;9.98;8.15
144D06604R;52.02;42.50
144D06796R;65.48;53.50
144D07554R;84.79;69.27
144D08499R;38.11;31.14
144D09707R;39.38;32.17
144D22173R;277.45;152.60
144D24359R;277.45;152.60
144D25662R;242.61;133.44
144E64925R;61.67;50.38
144E70720R;69.08;56.44
144G14731R;409.60;237.57
144434JA0A;126.22;103.12
144514220R;29.33;23.96
14460HX40B;277.45;152.60
14460JD70B;277.45;152.60
14460JG70A;277.45;152.60
14460JY00C;277.45;152.60
14460JY00D;277.45;152.60
144600002R;277.45;152.60
144600003R;277.45;152.60
144600107R;277.45;152.60
144600108R;277.45;152.60
144600161R;277.45;152.60
144600199R;277.45;152.60
144600374R;277.45;152.60
144600392R;244.43;134.44
144600442R;277.45;152.60
144600492R;277.45;152.60
144600509R;277.45;152.60
144600588R;277.45;152.60
144600635R;277.45;152.60
144600646R;277.45;152.60
144600803R;83.24;45.78
144600828R;277.45;152.60
144600835R;277.45;152.60
144600867R;277.45;152.60
144601001R;277.45;152.60
144601417R;277.45;152.60
144601591R;262.99;144.64
144601599R;277.45;152.60
144601765R;277.45;152.60
144601915R;277.45;152.60
144602126R;277.45;152.60
144602179R;83.24;45.78
144602282R;277.45;152.60
144602464R;277.45;152.60
144602487R;277.45;152.60
144602500R;277.45;152.60
144602744R;277.45;152.60
144602753R;277.45;152.60
144602862R;277.45;152.60
144602899R;277.45;152.60
144603116R;277.45;152.60
144603145R;277.45;152.60
144603257R;277.45;152.60
144603264R;277.45;152.60
144603415R;277.45;152.60
144603659R;277.45;152.60
144603839R;619.70;340.84
144604BD0A;743.30;408.82
144604BD1B;277.45;152.60
144604BE2C;277.45;152.60
144604EB3C;277.45;152.60
144604JA0C;277.45;152.60
144604JA2B;277.45;152.60
144604018R;277.45;152.60
144604161R;257.60;141.68
144604208R;269.36;148.15
144604405R;277.45;152.60
144604527R;277.45;152.60
144604599R;277.45;152.60
144604607R;277.45;152.60
144604814R;277.45;152.60
144604837R;277.45;152.60
144604864R;277.45;152.60
144604914R;277.45;152.60
144604965R;277.45;152.60
144605EK0A;284.13;156.27
144605014R;248.89;136.89
144605043R;277.45;152.60
144605086R;277.45;152.60
144605171R;267.03;146.87
144605225R;277.45;152.60
144605243R;277.45;152.60
144605319R;321.65;176.91
