article;list_price;buying_price;buying_price_self;discount;discount_self;description;weight;DLNR
288908459R;50.30;19.32;13.63;61.6;72.9;WISCHERBLATT YU87;167;7455
288908484R;42.29;16.24;11.46;61.6;72.9;WISCHERSET   DH85;310;7455
288908545R;65.29;25.07;17.69;61.6;72.9;WISCHERSET   EA55;280;7455
288908601R;47.27;18.15;12.81;61.6;72.9;WISCHERSET   CJ85;290;7455
288908630R;27.03;10.38;7.33;61.6;72.9;WISCHERSET MODUS;385;7455
288908716R;60.39;23.19;16.37;61.6;72.9;WISCHER-SET  DA87;240;7455
288908753R;24.74;9.50;6.70;61.6;72.9;WISCHERBLATT DI85;150;7455
288908955R;27.76;10.66;7.52;61.6;72.9;WISCHERBLATT DU85;113;7455
288909048R;32.85;12.61;8.90;61.6;72.9;WISCHERBLATT GA85;137;7455
288909223R;46.92;18.02;12.72;61.6;72.9;WISCHERBLATT YU57;126;7455
288909226R;46.07;17.69;12.48;61.6;72.9;WISCHERBLATT CJ85;290;7455
288909270R;35.40;13.59;9.59;61.6;72.9;WISCHERBLATT 7A85;110;7455
288909307R;25.29;9.71;6.85;61.6;72.9;WISCHERBL.   DQ85;155;7455
288909425R;54.05;20.76;14.65;61.6;72.9;WISCHERSET   3A85;300;7455
288909504R;69.99;26.88;18.97;61.6;72.9;WISCHER TRAFF III;270;7455
288909527R;28.27;10.86;7.66;61.6;72.9;WISCHERBLATT DI85;200;7455
288909637R;63.72;24.47;17.27;61.6;72.9;WISCHERSET   5U85;360;7455
288909789R;58.79;22.58;15.93;61.6;72.9;WISCHERBLATT 7P86;100;7455
288909870R;34.22;13.14;9.27;61.6;72.9;WISCHERBLATT LI;140;7455
288909916R;46.19;17.74;12.52;61.6;72.9;WISCHERSET KANG 2;335;7455
288953663R;36.93;14.18;10.01;61.6;72.9;WISCHER CAPT.CJ85;210;7455
288954276R;36.93;14.18;10.01;61.6;72.9;WISCHERBLATT CJ85;235;7455
288954625R;27.76;10.66;7.52;61.6;72.9;WISCHERBLATT DU85;190;7455
288954962R;43.04;16.53;11.66;61.6;72.9;WISCHERBLATT CJ85;250;7455
288955316R;45.80;17.59;12.41;61.6;72.9;XJL WISCHER VL;230;7455
288958192R;36.93;14.18;10.01;61.6;72.9;WISCHERBLATT CJ85;210;7455
289A23820R;44.33;36.22;31.96;18.3;27.9;HALTER       3A86;30;7455
289264139R;47.21;38.57;34.04;18.3;27.9;HALTER       FA86;380;7455
290F18104R;30.68;25.07;22.12;18.3;27.9;HALTER       1E17;150;7455
290660961R;58.20;22.35;15.77;61.6;72.9;WISCHERSET   DI85;210;7455
290662680R;34.54;13.26;9.36;61.6;72.9;REP.-SATZ    DI85;300;7455
290667534R;62.16;23.87;16.85;61.6;72.9;WISCHERSET   DO86;240;7455
295A44162R;5.89;4.81;4.25;18.3;27.9;HALTER       QQ80;165;7455
295F40763R;74.90;61.19;54.00;18.3;27.9;HALTER       7A55;1020;7455
295G9HB82E;122.60;100.16;88.39;18.3;27.9;HALTER       7A19;111;7455
295R85142R;15.76;12.88;11.36;18.3;27.9;HALTER       ZZ19;260;7455
295R88066R;19.27;15.74;13.89;18.3;27.9;KONTAKT      3A19;320;7455
295S80086R;57.42;46.91;41.40;18.3;27.9;HALTER       DO48;390;7455
295S89832R;80.04;65.39;57.71;18.3;27.9;HALTER       DI60;400;7455
295Y25454R;29.33;23.96;21.15;18.3;27.9;HALTER       CN19;240;7455
295132285R;2.71;2.21;1.95;18.3;27.9;DICHTUNG     JA19;86;7455
295341479R;18.52;15.13;13.35;18.3;27.9;HALTER       ZZ19;314;7455
295544280R;64.37;35.40;31.73;45;50.7;LEITUNG      7A19;158;7455
296D41683R;57.42;46.91;41.40;18.3;27.9;HALTER       DE88;868;7455
296D44431R;39.38;32.17;28.39;18.3;27.9;HALTER       DE88;0;7455
302050034R;292.72;131.72;114.75;55;60.8;KUPPLUNG     ZA20;6350;7455
302050453R;221.17;99.53;86.70;55;60.8;KUPPL.SATZ   ZE20;3320;7455
302050831R;292.72;131.72;114.75;55;60.8;KUPPLUNGSSATZZJ20;5600;7455
302050865R;548.05;246.62;214.84;55;60.8;KUPPL.SATZ   YM20;8100;7455
302050901R;292.72;131.72;114.75;55;60.8;KUPPL.SATZ   ZC20;4485;7455
302051247R;468.35;210.76;183.59;55;60.8;REP-SATZ     7A19;6190;7455
302051336R;331.76;149.29;130.05;55;60.8;KUPPL.SATZ   ZP20;4550;7455
302051409R;332.76;149.74;130.44;55;60.8;KUPPLUNG     ZP20;5060;7455
302051453R;903.73;406.68;354.26;55;60.8;KUPPLUNG     ZM20;13723;7455
302051548R;331.76;149.29;130.05;55;60.8;KUPPL.-SATZ  DQ20;3232;7455
302052098R;325.24;146.36;127.49;55;60.8;KUPPLUNG     ZP20;4690;7455
302052223R;260.19;117.09;101.99;55;60.8;KUPPLUNGSSET DA20;4346;7455
302052305R;546.41;245.88;214.19;55;60.8;KUPPLUNG     ZM20;7730;7455
302052307R;292.72;131.72;114.75;55;60.8;KUPPLUNG     DA20;4505;7455
302052617R;221.17;99.53;86.70;55;60.8;KUPPLUNG     IA20;3535;7455
302052641R;455.35;204.91;178.50;55;60.8;KUPPLUNG     YT10;12320;7455
302052839R;331.76;149.29;130.05;55;60.8;KUPPLUNG     ZP12;5400;7455
302052910R;1729.75;778.39;678.06;55;60.8;KUPPL.SATZ   YQ20;1090;7455
302052962R;332.76;149.74;130.44;55;60.8;KUPPLUNG     ZP20;4400;7455
302053201R;292.72;131.72;114.75;55;60.8;KUPPL.SET    ZL10;5720;7455
302053302R;332.76;149.74;130.44;55;60.8;KUPPLUNG     ZP20;5020;7455
302053679R;325.24;146.36;127.49;55;60.8;KUPPL.SATZ   ZP20;5130;7455
302053931R;325.24;146.36;127.49;55;60.8;KUPPL.SATZ   ZJ20;4730;7455
302054100R;295.31;132.89;115.76;55;60.8;KUPPLUNGSKIT DA20;5300;7455
302054417R;468.35;210.76;183.59;55;60.8;KUPPL.SATZ   ZR20;6930;7455
302054452R;390.29;175.63;152.99;55;60.8;KUPPLUNGSSAT.ZJ20;5120;7455
302054581R;468.35;210.76;183.59;55;60.8;KUPPLUNG     4A20;6830;7455
302054956R;455.35;204.91;178.50;55;60.8;KUPPL.SATZ   ZM20;9125;7455
302055016R;326.88;147.10;128.14;55;60.8;KUPPLUNG     DA++;5500;7455
302055084R;519.57;233.81;203.67;55;60.8;KUPPLUNG     DQ20;4770;7455
302055381R;468.35;210.76;183.59;55;60.8;KUPPLUNG     ZR20;6910;7455
302055580R;276.45;124.40;108.37;55;60.8;KUPPL.SATZ   2A20;4230;7455
302055884R;390.29;175.63;152.99;55;60.8;KUPPL.SATZ   ZP20;4840;7455
302055983R;1358.33;611.25;532.47;55;60.8;KUPPLUNG     CN11;6540;7455
302056020R;390.29;175.63;152.99;55;60.8;KUPPL.SATZ   BRAY;4709;7455
302056062R;331.76;149.29;130.05;55;60.8;KUPPLUNG     7A21;4764;7455
302056600R;456.71;205.52;179.03;55;60.8;KUPPL.SATZ   ZM20;7730;7455
302057069R;332.76;149.74;130.44;55;60.8;KUPPL.SATZ   0A20;4255;7455
302057092R;391.46;176.16;153.45;55;60.8;KUPPLUNG     ZJ20;6110;7455
302057116R;409.81;184.41;160.65;55;60.8;KUPPL.SATZ   ZM20;7850;7455
302057302R;325.24;146.36;127.49;55;60.8;KUPPL.SATZ   AM20;5741;7455
302057428R;239.19;107.64;93.76;55;60.8;KUPPL.SATZ   ZP20;4730;7455
302057505R;252.17;113.48;98.85;55;60.8;KUPPLUNG     ZJ20;4700;7455
302057645R;1611.90;725.36;631.86;55;60.8;KUPPLUNG     AR23;4026000;7455
302057908R;273.20;122.94;107.09;55;60.8;KUPPLUNG     FU20;6415;7455
302058039R;221.17;99.53;86.70;55;60.8;KUPPL.SATZ   ZE20;4135;7455
302058134R;312.23;140.50;122.39;55;60.8;KUPPL.SATZ   ZR20;6315;7455
302058324R;260.19;117.09;101.99;55;60.8;KUPPL.SET    JA20;5205;7455
302058345R;468.35;210.76;183.59;55;60.8;KUPPL.SATZ   ZR20;6390;7455
302058718R;320.33;144.15;125.57;55;60.8;KUPPL.SATZ   ZP20;4600;7455
302059977R;411.03;184.96;161.12;55;60.8;KUPPLUNG     ZM20;8570;7455
306754372R;35.82;29.26;25.83;18.3;27.9;HALTER       DA37;630;7455
30850JG70A;52.55;42.93;37.89;18.3;27.9;LEITUNG      QQ37;195;7455
316271091R;521.87;234.84;200.92;55;61.5;BR.TROMMEL   DH33;5620;7455
319433JX0B;82.17;47.66;42.56;42;48.2;STECKER      DI23;70;7455
320505223R;72.94;34.28;30.63;53;58;SENSOR       AX23;21;7455
320508635R;72.94;34.28;30.63;53;58;POSITIONSGEB.AT23;50;7455
320930431R;21.91;17.90;15.80;18.3;27.9;BLECH        YT17;335;7455
320934528R;15.82;12.92;11.41;18.3;27.9;HALTER       DQ88;190;7455
341013870R;35.48;28.99;25.58;18.3;27.9;HALTER       7U38;200;7455
341019975R;134.62;109.98;97.06;18.3;27.9;SCHALTEINHEIT3A38;982;7455
363290001R;98.19;80.22;70.79;18.3;27.9;HALTER       UP38;1120;7455
36400JY50A;100.26;81.91;72.29;18.3;27.9;KLAMMER      QQ38;10;7455
364104162R;55.76;45.56;40.20;18.3;27.9;FUEHRUNG     7A38;410;7455
364542149R;17.78;14.53;12.82;18.3;27.9;FEDER        YM38;15;7455
365350001R;29.06;23.74;20.95;18.3;27.9;HALTER       FP38;450;7455
365356243R;133.06;108.71;95.94;18.3;27.9;HALTER       4A38;380;7455
375104BD0A;47.59;38.88;34.31;18.3;27.9;HALTER       QN29;410;7455
375124BD0A;43.20;35.29;31.15;18.3;27.9;HALTER       QN29;350;7455
402023273R;216.41;77.91;68.82;64;68.2;BR.SCHEIBE   FH33;9020;7455
402024076R;192.14;69.17;61.10;64;68.2;BR.SCHEIBE   JA33;7640;7455
402026061R;216.41;77.91;68.82;64;68.2;BR.SCHEIBE   UH33;9770;7455
402026199R;272.92;98.25;86.79;64;68.2;RADNABE      YM31;3800;7455
402060012R;173.96;62.63;55.32;64;68.2;BREMSSCHEIBE FA31;10270;7455
402060019R;216.41;77.91;68.82;64;68.2;BREMSSCHEIBE FA31;10255;7455
402060029R;163.96;59.03;52.14;64;68.2;BREMSSCHEIBE;5320;7455
402060405R;235.39;84.74;74.85;64;68.2;BREMSSCH.SATZJS31;11200;7455
402060654R;387.57;139.53;123.25;64;68.2;BR.SCHEIBE   7A31;9130;7455
402061200R;236.90;85.28;75.33;64;68.2;BR.SCH.SATZ  DU31;13705;7455
402061547R;163.96;59.03;52.14;64;68.2;BREMSSCHEIBE XY31;7700;7455
402061715R;239.84;86.34;76.27;64;68.2;BR.SCHEIBE   7A31;11400;7455
402061792R;131.14;47.21;41.70;64;68.2;BR.SCHEIBE   7E31;9100;7455
402061858R;250.86;90.31;79.77;64;68.2;BREMSSCHEIBE JS31;11310;7455
402062000R;163.94;59.02;52.13;64;68.2;BR.SCHEIBE   7A32;7560;7455
402062072R;165.12;59.44;52.51;64;68.2;BR.SCHEIBE   7C31;6810;7455
402062584R;242.68;87.36;77.17;64;68.2;BREMSSCHEIBE YT31;9300;7455
402062650R;250.86;90.31;79.77;64;68.2;BREMSSCHEIBENDH31;11200;7455
402062984R;234.78;84.52;74.66;64;68.2;S.BR.SCHEIBENMA31;10100;7455
402063166R;244.35;87.97;77.70;64;68.2;BREMSSCH.SATZ4A31;11290;7455
402064KJ1B;220.55;79.40;70.13;64;68.2;BR.SCHEIBE   5Q31;8890;7455
402064155R;163.94;59.02;52.13;64;68.2;BR.SCHEIBE 320MM;9950;7455
402064230R;278.67;100.32;88.62;64;68.2;BR.SCH.SATZ  NA31;13200;7455
402064549R;223.00;80.28;70.91;64;68.2;BR.SCH.SATZ  1A31;8715;7455
402065HA0A;163.96;59.03;52.14;64;68.2;BREMSSCHEIBE QN31;7640;7455
402065XA0A;204.60;73.66;65.06;64;68.2;BR.SCHEIBE   5Q31;11750;7455
402065054R;236.90;85.28;75.33;64;68.2;BR.SCHEIBEN  DH31;9570;7455
402065345R;222.92;80.25;70.89;64;68.2;BR.SCHEIB.SATZ;8530;7455
402065616R;250.86;90.31;79.77;64;68.2;BREMSSCHEIBENDI31;13500;7455
402065998R;163.96;59.03;52.14;64;68.2;BR.SCHEIBE   QN31;10060;7455
402066RN0A;221.34;79.68;70.39;64;68.2;BREMSSCHEIBE 7A31;7800;7455
402066RP0A;163.96;59.03;52.14;64;68.2;BR.-SCHEIBE  7A31;7790;7455
402066US0B;163.96;59.03;52.14;64;68.2;BR.SCHEIBE   5K31;11810;7455
402066300R;236.90;85.28;75.33;64;68.2;BR.SCH.SATZ  DQ31;11335;7455
402066352R;218.41;78.63;69.45;64;68.2;BR.SCHEIBE V.YM31;9270;7455
402066624R;163.94;59.02;52.13;64;68.2;BREMSSCHEIBE RN31;7700;7455
402066818R;250.86;90.31;79.77;64;68.2;BREMSSCHEIBENDI31;13800;7455
402066949R;163.94;59.02;52.13;64;68.2;BR.SCHEIBE  DU32;8110;7455
402067615R;278.73;100.34;88.64;64;68.2;BR.SCH.SATZ  4A31;9850;7455
402067816R;177.06;63.74;56.31;64;68.2;BREMSSCHEIBENJS31;13560;7455
402067902R;278.67;100.32;88.62;64;68.2;BR.SCHEIBEN  DN31;13650;7455
402068053R;278.67;100.32;88.62;64;68.2;BR.SCHEIBEN  DU31;13660;7455
402068234R;163.94;59.02;52.13;64;68.2;BR.SCHEIBE 1 JA31;8075;7455
402068250R;206.82;74.46;65.77;64;68.2;BR.-SCHEIBEN DI31;13600;7455
402068279R;147.55;53.12;46.92;64;68.2;BR.SCHEIBE   DE31;3730;7455
402068466R;236.90;85.28;75.33;64;68.2;BR.SCHEIBEN  NA33;11340;7455
402068571R;148.18;53.34;47.12;64;68.2;BREMSSCHEIBE VORN;0;7455
402068775R;150.02;54.01;47.71;64;68.2;BREMSSCHEIBE DO48;1930;7455
402069741R;278.22;100.16;88.47;64;68.2;BR.SCH.SATZ  4A31;13640;7455
402069828R;185.98;66.95;59.14;64;68.2;BREMSSCHEIBE QQ31;8610;7455
402069958R;326.55;117.56;103.84;64;68.2;BR.SCHEIBE   FA31;8500;7455
402971620R;387.57;139.53;123.25;64;68.2;BR.SCHEIBE   7A31;9520;7455
402975316R;326.55;117.56;103.84;64;68.2;BREMSSCHEIBE 4A31;10800;7455
402977597R;296.63;106.79;94.33;64;68.2;BR.SCHEIBE   MH32;9800;7455
410A04080R;38.49;24.09;21.90;37.4;43.1;KLAMMER      7E32;69;7455
410A05803R;51.19;32.04;29.13;37.4;43.1;REP.SATZ     YU32;146;7455
410A07273R;107.80;67.48;61.34;37.4;43.1;KLAMMERNSATZ DO49;20;7455
410A10803R;118.02;41.78;36.11;64.6;69.4;BR.BELAEGE   7E32;2302040;7455
410A12582R;115.23;40.79;35.26;64.6;69.4;BR.BELAEGE   DK32;1900;7455
410A13730R;85.02;30.10;26.02;64.6;69.4;BREMSBELAEGE DO59;190;7455
410A15079R;118.02;41.78;36.11;64.6;69.4;BREMSBELAEGE JK32;2000;7455
410A17119R;107.05;37.90;32.76;64.6;69.4;BREMSBELAEGE JC32;1961;7455
410A17281R;139.05;49.22;42.55;64.6;69.4;BREMSBELAG   7E58;2052;7455
410A17865R;483.00;170.98;147.80;64.6;69.4;BR.BELAEGE   EE32;4102;7455
410A18593R;258.04;91.35;78.96;64.6;69.4;BREMSBELAEGE XU32;2840;7455
410271417R;15.12;9.47;8.60;37.4;43.1;KLAMMERSATZ  BA32;35;7455
410271822R;17.91;11.21;10.19;37.4;43.1;KLAMMERSATZ  4A34;30;7455
410273279R;13.73;8.59;7.81;37.4;43.1;KLAMMERSATZ  YT34;10;7455
410273311R;70.80;44.32;40.29;37.4;43.1;BLECHE       RN32;30;7455
410274467R;46.26;28.96;26.32;37.4;43.1;REP.SATZ     7A32;25;7455
410274877R;44.54;27.88;25.34;37.4;43.1;KLAMMER      1A32;20;7455
410277998R;74.89;46.88;42.61;37.4;43.1;REP.SATZ     5A32;170;7455
410278957R;15.12;9.47;8.60;37.4;43.1;REP-SATZ     BA32;25;7455
410600012R;125.11;44.29;38.28;64.6;69.4;BREMSBELAEGE UA32;1955;7455
410600222R;86.17;30.50;26.37;64.6;69.4;BR.BELAEGE   DC32;1100;7455
410600318R;118.02;41.78;36.11;64.6;69.4;BR.BELAEGE   7E32;1950;7455
410600425R;130.93;46.35;40.06;64.6;69.4;BR.BELAEGE   5K32;2070;7455
410600995R;118.02;41.78;36.11;64.6;69.4;BREMSBELAEGE 5K32;2010;7455
410601073R;118.80;42.06;36.35;64.6;69.4;BR.BELAEGE   YM32;2330;7455
410601237R;118.02;41.78;36.11;64.6;69.4;BREMSBELAG   NA32;1865;7455
410601334R;118.02;41.78;36.11;64.6;69.4;BREMSBELAEGE JA31;1745;7455
410601408R;104.32;36.93;31.92;64.6;69.4;BR.BELAG H.  QQ34;710;7455
410601512R;256.38;90.76;78.45;64.6;69.4;BREMSBELAEGE 5K32;2610;7455
410601531R;118.02;41.78;36.11;64.6;69.4;BR.BELAEGE   XY31;1700;7455
410601596R;221.34;78.35;67.73;64.6;69.4;BR.BELAEGE   QN32;1800;7455
410602192R;86.17;30.50;26.37;64.6;69.4;BR.BELAEGE   XY32;1150;7455
410602581R;86.17;30.50;26.37;64.6;69.4;BR.BELAEGE  DH32;1220;7455
410603131R;242.56;85.87;74.22;64.6;69.4;BR.BELAEGE   XX32;1830;7455
410603271R;105.77;37.44;32.37;64.6;69.4;BREMSBELAEGE YM32;2300;7455
410603303R;215.55;76.30;65.96;64.6;69.4;BREMSBELAEGE FA32;2295;7455
410603407R;113.66;40.24;34.78;64.6;69.4;BR.BELAEGE   7A32;1720;7455
410603513R;120.39;42.62;36.84;64.6;69.4;BR.BELAEGE   YQ34;2140;7455
410603759R;136.59;48.35;41.80;64.6;69.4;BREMSBELAG   RA32;2020;7455
410603847R;118.80;42.06;36.35;64.6;69.4;BR.BELAEGE   YT32;2600;7455
410604EA0A;182.09;64.46;55.72;64.6;69.4;BREMSBELAG   5A32;1870;7455
410604076R;86.17;30.50;26.37;64.6;69.4;BREMSBELAG   1E32;1345;7455
410604441R;125.11;44.29;38.28;64.6;69.4;BR.BELEAGE   NU32;1694;7455
410604682R;86.17;30.50;26.37;64.6;69.4;BREMSBELAG   DH32;1450;7455
410604775R;86.17;30.50;26.37;64.6;69.4;BREMSBELAEGE YQ32;1380;7455
410604868R;113.91;40.32;34.86;64.6;69.4;BREMSBELAEGE YM32;2340;7455
410605055R;125.11;44.29;38.28;64.6;69.4;BR.BELAEGE   UA32;1485;7455
410605555R;402.04;142.32;123.02;64.6;69.4;BR.BELAEGE   7A32;2390;7455
410605766R;113.80;40.29;34.82;64.6;69.4;BR.BELEAGE   NU32;1990;7455
410605929R;118.02;41.78;36.11;64.6;69.4;BR.BELAEGE   7A32;1320;7455
410606032R;86.17;30.50;26.37;64.6;69.4;BR.BELAEGE   4A32;1300;7455
410606124R;141.63;50.14;43.34;64.6;69.4;BR.BELAEGE   RN32;1910;7455
410606808R;141.63;50.14;43.34;64.6;69.4;BR.BELAEGE   RN32;1970;7455
410607103R;104.19;36.88;31.88;64.6;69.4;BR.BELAEGE   1A32;535;7455
410607229R;116.32;41.18;35.59;64.6;69.4;BREMSBELAG   YM32;2380;7455
410607369R;118.02;41.78;36.11;64.6;69.4;BR.BELAEGE   UA32;2040;7455
410607693R;122.50;43.37;37.48;64.6;69.4;BREMSBELAG   YM32;2330;7455
410608131R;242.56;85.87;74.22;64.6;69.4;BR.BELAEGE   XX32;2060;7455
410608481R;86.17;30.50;26.37;64.6;69.4;BR.BELAEGE   XY32;1385;7455
410608710R;192.36;68.10;58.86;64.6;69.4;BR.BELAEGE   QN32;1790;7455
410608885R;86.17;30.50;26.37;64.6;69.4;BREMSBELAEGE 2A32;1470;7455
410609141R;113.82;40.29;34.83;64.6;69.4;2BR.BELAEGE  PA32;2020;7455
410609192R;118.02;41.78;36.11;64.6;69.4;BR.BELAGSATZBNA32;1660;7455
410609317R;215.15;76.16;65.84;64.6;69.4;BR.BELAEGE   FH32;2355;7455
410609323R;70.82;25.07;21.67;64.6;69.4;BR.BELEAGE   DE32;1200;7455
410609896R;113.80;40.29;34.82;64.6;69.4;BR.BELAG     FA32;1890;7455
410830001R;13.81;8.65;7.86;37.4;43.1;KLAMMER      UP32;20;7455
410832774R;13.81;8.65;7.86;37.4;43.1;FEDER        FA32;10;7455
410837551R;18.55;11.61;10.55;37.4;43.1;KLAMMER      7A32;11;7455
410908683R;37.51;23.48;21.34;37.4;43.1;KLAMMER      5K32;80;7455
430B63523R;68.41;55.89;49.32;18.3;27.9;HALTER       TM33;610;7455
432000015R;216.41;77.91;68.82;64;68.2;BR.SCHEIBE   TT33;8670;7455
432000138R;270.88;97.52;86.14;64;68.2;BR.SCH.SATZ  YU31;14000;7455
432000166R;351.51;126.54;111.78;64;68.2;BR.SCHEIBE   7U33;12320;7455
432000185R;367.86;132.43;116.98;64;68.2;BREMSSCHEIBEN7A33;13290;7455
432000367R;389.83;140.34;123.97;64;68.2;BR.SCH.SATZ  YT33;13320;7455
432000505R;452.69;203.71;174.29;55;61.5;BREMSTROMMEL DA33;8347;7455
432000978R;489.91;220.46;188.62;55;61.5;BREMSTROMMEL DC33;5350;7455
432001458R;504.20;226.89;194.12;55;61.5;BREMSTROMMEL 4A33;4350;7455
432002188R;367.86;132.43;116.98;64;68.2;BR.SCHEIBEN  FP33;13440;7455
432003112R;292.61;105.34;93.05;64;68.2;BR.SCHEIBEN  QQ33;11495;7455
432004397R;579.83;260.92;223.23;55;61.5;BREMSTROMMEL DU33;11000;7455
432004943R;351.51;126.54;111.78;64;68.2;BR.SCHEIBEN  NA33;12954;7455
432005338R;298.80;107.57;95.02;64;68.2;BR.SCH.SATZ  NA33;10280;7455
432005876R;630.26;283.62;242.65;55;61.5;BREMSTROMMEL JA33;10580;7455
432006019R;567.24;255.26;218.39;55;61.5;BREMSTROMMEL CN33;5730;7455
432006028R;294.45;106.00;93.64;64;68.2;BREMSSCHEIBE YM33;9743;7455
432007212R;521.87;234.84;200.92;55;61.5;BR.TROMMEL   2P33;8612;7455
432008052R;347.89;156.55;133.94;55;61.5;BREMSTROMMEL DE33;3670;7455
432008191R;351.51;126.54;111.78;64;68.2;BR.SCHEIB.SA.FD33;11660;7455
432008208R;579.83;260.92;223.23;55;61.5;BR.TROMMEL   DQ33;9650;7455
432008347R;630.26;283.62;242.65;55;61.5;BREMSTROMMEL JV33;9610;7455
432020026R;444.82;160.14;141.45;64;68.2;BREMSSCHEIBE FA33;9185;7455
432020912R;216.41;77.91;68.82;64;68.2;BREMS.SCHEIB.7A33;9930;7455
432020984R;216.41;77.91;68.82;64;68.2;BREMSSCHEIBE FU33;7845;7455
432021892R;216.41;77.91;68.82;64;68.2;BR.SCHEIBE   FU33;8320;7455
432022742R;288.29;103.78;91.68;64;68.2;BREMSSCHEIBE YM33;9768;7455
432023259R;521.87;234.84;200.92;55;61.5;BR.TROMMEL   DA33;5495;7455
432023663R;216.41;77.91;68.82;64;68.2;BREMSSCHEIBE RA33;8400;7455
432024763R;567.22;255.25;218.38;55;61.5;BREMSTROMMEL HA33;5500;7455
432024962R;216.22;77.84;68.76;64;68.2;BR.SCHEIBE H.7A33;7620;7455
432027306R;216.41;77.91;68.82;64;68.2;BR.SCHEIBE   RN33;8230;7455
432027412R;177.84;64.02;56.55;64;68.2;BREMSSCHEIBE 4A33;6910;7455
432028192R;216.41;77.91;68.82;64;68.2;BREMSSCHEIBE UA33;8100;7455
432029176R;216.41;77.91;68.82;64;68.2;BR.SCHEIBE H.7A33;12350;7455
432029310R;216.41;77.91;68.82;64;68.2;BREMSCHEIBE. XY33;8300;7455
432029521R;504.20;226.89;194.12;55;61.5;BREMSTROMMEL BA33;5560;7455
432032273R;56.89;25.60;21.90;55;61.5;BREMSTROMMEL 4A33;6210;7455
432037563R;480.39;216.18;184.95;55;61.5;BREMSTROMMEL 2A33;6200;7455
43206EB360;1134.44;510.50;436.76;55;61.5;BR.TROMMEL   5Q33;10594;7455
432061164R;172.18;61.98;54.75;64;68.2;BREMSSCHEIBENCN34;6200;7455
432061754R;544.31;244.94;209.56;55;61.5;BREMSTROMMEL DQ33;5763;7455
432062488R;504.20;226.89;194.12;55;61.5;BR.TROMMEL   4A33;5510;7455
432063685R;394.69;177.61;151.96;55;61.5;BREMSTROMMEL DI33;6050;7455
432064CE0A;210.61;75.82;66.97;64;68.2;BR.SCHEIBE   QN33;5600;7455
432064CE0B;292.67;105.36;93.07;64;68.2;BR.SCHEIBE   5Q33;5390;7455
432064087R;229.39;82.58;72.95;64;68.2;BR.SCHEIBE   YT33;7255;7455
432064199R;242.76;109.24;93.46;55;61.5;BR.TROMMEL   7A33;4380;7455
432064423R;216.41;77.91;68.82;64;68.2;BR.SCHEIBE   QN33;5300;7455
432065XA0A;172.18;61.98;54.75;64;68.2;BREMSSCHEIBE 5Q33;6340;7455
432066RN0A;220.57;79.41;70.14;64;68.2;BREMSSCHEIBE 7A33;5550;7455
432066US0A;172.18;61.98;54.75;64;68.2;BREMSSCHEIBE;7200;7455
432066923R;630.26;283.62;242.65;55;61.5;BREMSTROMMEL JK33;5710;7455
432067177R;172.18;61.98;54.75;64;68.2;BREMSSCHEIBE 7C33;3500;7455
432067943R;229.32;82.56;72.92;64;68.2;BR.SCHEIBE   YT33;8255;7455
432068231R;172.12;61.96;54.73;64;68.2;BREMSSCHEIBE RN33;7700;7455
432068931R;567.24;255.26;218.39;55;61.5;BREMSTROMMEL GA33;6000;7455
440A00868R;292.67;105.36;93.07;64;68.2;BR.SCHEIB.SA GA33;6410;7455
440A01033R;276.89;110.76;100.23;60;63.8;BREMSENKIT   JV34;6090;7455
440A01349R;151.65;52.02;45.19;65.7;70.2;BREMSBACKEN  DO54;1900;7455
440A01527R;386.05;154.42;139.75;60;63.8;BREMSEN-KIT  4A34;2130;7455
440A01612R;184.60;73.84;66.83;60;63.8;BREMSKIT     4A34;2810;7455
440A01644R;209.76;83.90;75.93;60;63.8;REP.SATZ     DQ34;1630;7455
440A03434R;267.80;96.41;85.16;64;68.2;BREMSSCHEIBE HINT;8650;7455
440A03645R;209.76;83.90;75.93;60;63.8;ANKERPLATTE  GA34;5020;7455
440A03664R;265.11;106.04;95.97;60;63.8;BR.BACKENSET DI34;2510;7455
440A03906R;292.00;105.12;92.86;64;68.2;BREMSSCHEIBEN HI.;14420;7455
440A04494R;251.70;100.68;91.12;60;63.8;REP.SATZ     DQ34;6020;7455
440A04949R;395.12;142.24;125.65;64;68.2;BR.SCH.SATZ  7E33;10300;7455
440A05169R;209.76;83.90;75.93;60;63.8;BR.BACKENSATZ2A34;2200;7455
440A05256R;146.52;50.26;43.66;65.7;70.2;BREMSB.SATZ  DE34;910;7455
440A05446R;251.70;100.68;91.12;60;63.8;BREMSBACKEN  GA34;2230;7455
440A05524R;220.78;88.31;79.92;60;63.8;BR.BACKENSET CN34;2540;7455
440A06022R;53.30;33.37;30.33;37.4;43.1;FEDERNSATZ   DO54;120;7455
440A06262R;224.44;89.78;81.25;60;63.8;KIT BREMSE   BA34;2160;7455
440A06298R;264.95;105.98;95.91;60;63.8;BREMS.KIT    DO34;5000;7455
440A06406R;55.91;35.00;31.81;37.4;43.1;REP.-SATZ    YU48;146;7455
440A06525R;209.76;83.90;75.93;60;63.8;BR.BEALEGE   DA34;2800;7455
440A06575R;292.67;105.36;93.07;64;68.2;BR.SCH.SATZ  7A33;6840;7455
440A07208R;209.76;83.90;75.93;60;63.8;REP.SATZ     HA34;2580;7455
440A07347R;242.88;97.15;87.92;60;63.8;BREMSENKIT   DN34;5830;7455
